features,labels
"WASHINGTON — President Trump on Friday reversed the government’s decision to start allowing hunters to import trophies of elephants that were killed in two African countries, pending a further review.His evening Twitter message reversed a decision by his own administration over Zimbabwe that was announced this week and promoted as recently as Friday afternoon by the White House press secretary, Sarah Huckabee Sanders.“Put big game trophy decision on hold until such time as I review all conservation facts,” Mr. Trump tweeted.Ryan Zinke, the interior secretary, said in a statement later Friday night that the decision applied to two African countries, though it did not name them.“President Trump and I have talked, and both believe that conservation and healthy herds are critical,” the statement said.The United States Fish and Wildlife Service had signaled its intention to end the 2014 ban, citing Zimbabwe’s conservation efforts.Nearly two weeks ago, the department also waived the ban in a similar manner for Zambia.Zambia and Zimbabwe have had mixed success in recent years maintaining or increasing their elephant population, according to the Great Elephant Census, a project financed by Paul G. Allen, a founder of Microsoft.It is unclear why Mr. Trump reversed the decision, but the announcement faced backlash from both conservatives and liberals.On social media, photos were being shared of Mr. Trump’s two elder sons hunting on safari in Zimbabwe, including one photo that showed Donald Trump Jr. with a severed elephant tail in one hand and a knife in the other.The White House argued that the hunting would bring money to local communities and incentivize efforts to protect elephants.“This review established that both Zambia and Zimbabwe had met new standards, strict international conservation standards that allowed Americans to resume hunting in those countries,” she told reporters during a news briefing.Under President Barack Obama, the practice had been banned because of a lack of data on conservation efforts in Zimbabwe.Safari Club International, a trophy-hunting organization that sued the Obama administration in 2014 in an effort to challenge the ban and was the first to report the policy change on Tuesday, lashed out against the news media and “anti-hunters” for swaying the Trump administration to lift the trophy ban.“The fight for the freedom to hunt is far from over,” Paul Babaz, the organization’s president, said in a statement.But environmental groups applauded the reversal on Friday and called for more restrictions on trophy hunting, which has faced increased scrutiny, especially after an American dentist killed Cecil, a lion beloved in Zimbabwe, in 2015.“It’s great that public outrage has forced Trump to reconsider this despicable decision,” said Tanya Sanerib, a senior lawyer with the Center for Biological Diversity, “but it takes more than a tweet to stop trophy hunters from slaughtering elephants and lions.”Ms. Sanders also confirmed Friday that a near-total ban on the commercial trade of African elephant ivory enforced during the Obama administration would remain in place.",liberal
"It looks like President Trump is having a change of heart when it comes to his recent decision to lift the ban on importing elephant trophies from Africa.In a tweet on Friday night, Trump said he decided to put the ""big game trophy decision on hold.”Secretary of the Interior Ryan Zinke echoed Trump's comment in his own tweet, saying that he and the president had spoken and ""both believe that conservation & healthy herds are critical...the issuing of permits is put on hold...""It was not immediately clear why Trump made the announcement, but it came on the same day as the top Republican on the House Foreign Affairs Committee called on the Trump administration to reverse its newly announced policy, labeling it the ""wrong move at the wrong time.""California Rep. Ed Royce on Friday questioned the action because of concerns not only about African wildlife but U.S. national security, citing the political upheaval in Zimbabwe, where the longtime president was placed under house arrest this week by the military.""The administration should withdraw this decision until Zimbabwe stabilizes,"" the committee chairman said in a statement.Royce said that when carefully regulated, conservation hunts could help the wildlife population, but ""that said, this is the wrong move at the wrong time.""The U.S. Fish and Wildlife Service said in a written notice issued Thursday that permitting elephants from Zimbabwe and Zambia to be brought back as trophies will raise money for conservation programs.""Legal, well-regulated sport hunting as part of a sound management program can benefit certain species by providing incentives to local communities to conserve those species and by putting much-needed revenue back into conservation,"" the agency said in a statement.The illicit demand for elephant ivory has led to devastating losses from illegal poaching as the natural habitat available for the animals to roam has also dwindled by more than half.Two other lawmakers, Rep. Vern Buchanan, R-Fla., and Rep. Earl Blumenauer, D-Ore., co-chairs of the Congressional Animal Protection Caucus, assailed the administration's decision.",center
"WASHINGTON ― In recent years, the opposing party approached Supreme Court nomination hearings by honing in on the nominee’s character and temperament or on one particular case that could possibly derail the nominee.The four days of Senate Judiciary Committee hearings held this past week for President Donald Trump’s nominee to fill the late Justice Antonin Scalia’s seat, Judge Neil Gorsuch, were different.At the base of this argument was a simple question that has been dogging Democrats ever since the infamous Bush v. Gore decision on the 2000 presidential election: Is the Supreme Court rigged to benefit corporations, the wealthy and, well, Republicans?Pressing this question did not knock Gorsuch off his steady stream of non-answers.Sen. Sheldon Whitehouse (D-R.I.) made this point abundantly clear when he pointed to the series of 5-4 decisions made under Roberts’ leadership that have changed laws to help Republicans get elected, big donors gain more influence in politics through campaign contributions and corporations gain more economic and political power.“I think these 5-4 decisions are a problem, you said sometimes ― I think I’m quoting you correctly ― sometimes big corporations can capture an agency,” Whitehouse said to Gorsuch.On this week’s episode of The Huffington Post’s “So That Happened” podcast, 2016 Democratic House candidate Zephyr Teachout, a constitutional law professor at Fordham University School of Law, said the Democrats took the right approach by aiming their fire at the court as an institution that shapes our economy and our politics.“I thought both Whitehouse and others rightly pointed out that after Roberts’ confirmation we gotta pull away that fake story that you’re just calling balls and strikes,” Teachout said.Gorsuch, who worked on former President George W. Bush’s 2004 reelection campaign and as a lawyer in his Justice Department, provided the expected performance past court nominees had given during his appearance; he stated that he would be shocked by politics coming into a courtroom.It is no surprise that Democrats find little need to take this opinion seriously anymore.Sen. Pat Leahy (D-Vt.) called this “an extraordinary blockade.” “It was totally unprecedented in our country’s whole history,” he added.Responding to Gorsuch’s stated belief that justices have no partisan leanings, Sen. Al Franken (D-Minn.) explained, “And you know, you said earlier, there are no Democratic judges, there are no Republican judges.In addition, Democrats are still irritated at Roberts for promising to call only “balls and strikes” in his 2005 confirmation hearing.Sen. Mazie Hirono (D-Hawaii) blasted Roberts’ decision in Shelby County for creating a whole new constitutional doctrine out of whole cloth, “So, so much for judicial modesty,” she said.The Roberts Court has done much to reshape power in the United States.After Gorsuch repeatedly stated that there was ample room for Congress to legislate without worrying about court decisions, Democrats reminded him of how the court’s decisions play a key role in shaping who is elected to Congress and, therefore, what bills can be passed in the first place.“[B]y tilting the political playing field so heavily toward corporations and against individuals, hasn’t the court impacted the composition of who is in Congress and made it therefore even harder for Congress to taking meaningful,” Hirono said.Whitehouse asked about the court’s controversial Citizens United decision, “What could be more involved in politics than to open this ocean of dark money that’s flooded into our politics?”Democrats on the committee appeared frustrated that Gorsuch refused to acknowledge the court’s role in transforming both the political and economic worlds the country’s citizens operate in.",center
"Donald Trump assumed the nation’s highest office Friday as the 45th president of the United States, vowing in a tough inaugural address to restore prosperity and “fight” for the country “with every breath.”In a succinct speech heavy on populist themes, the new president told Americans across the country they will “never be ignored again” and promised concrete results.“The time for empty talk is over. Now arrives the hour of action,” he said.The president addressed a packed crowd of spectators stretching from the Capitol across the National Mall on a mild but overcast and at-times drizzly day, after taking the oath of office along with Vice President Mike Pence. But the address was stitched together, more broadly, by an appeal for a “new national pride” and a rediscovery of American patriotism, as he described this as a salve for the country’s divisions.“When you open your heart to patriotism, there is no room for prejudice,” he said.He also rebuked those who have held power in Washington, saying a small group reaped the rewards of government while “the people did not share” in Washington’s wealth.The address completes Trump’s remarkable journey from political outsider written off by countless Beltway pundits to the most powerful man in the country.In blunt and unvarnished terms similar to the language used during his nomination acceptance address last summer, Trump on Friday lamented the jobs lost to foreign rivals – he described “rusted out factories scattered like tombstones” across the land – and the crime in America’s cities.“This American carnage stops right here and stops right now,” Trump said.Trump cast his presidency as a return to power for the people and vowed never to let them down.“From this day forward, it’s going to be only America first,” Trump said. He also vowed to eradicate Islamic terrorism.Telling the American people this is “your moment” and “your day,” Trump closed his speech with the promise that started it all: “We will make America great again.”As Barack and Michelle Obama depart the White House after eight years in office, Trump will immediately be confronted with the challenge of governing, as he attempts to apply his CEO experience to running the nation. An immediate task for the new administration will be to get Trump’s Cabinet nominees confirmed. Before he spoke on Friday, throngs of protesters were causing disruptions on the edges of the security zone in Washington. While dozens of House Democrats boycotted Friday’s ceremonies – a move that fueled disputes with Trump’s team over the weekend – other prominent Democrats and past presidents of both parties were in attendance for the transfer of power. “I will never stop believing in our country & its future,” she wrote.Donald and Melania Trump met with the Obamas earlier Friday morning after attending a church service in Washington. ",center
"President Trump’s eldest son, Donald Trump Jr., corresponded with WikiLeaks before the 2016 presidential election, a dialogue of which the president’s son confirmed Monday night on Twitter.In a series of tweets, Trump Jr. produced “the entire chain of messages with @wikileaks (with my whopping 3 responses) which one of the congressional committees has chosen to selectively leak.The Atlantic first reported on Monday that Trump Jr. received a private message from the WikiLeaks Twitter account on September 20, 2016 — a message shown in the tweets produced by the president’s son.“A PAC run anti-Trump site putintrump.org is about to launch,” WikiLeaks wrote.Trump Jr. replied, “Off the record I don’t know who that is, but I’ll ask around.In a separate October 2016 exchange, WikiLeaks urged Trump Jr. to “comment on/push this story” about then-Democratic presidential nominee Hillary Clinton wanting to “just drone” Julian Assange, the Wikileaks founder.“Already did that earlier today,” Trump Jr. later replied.The messages obtained by The Atlantic were turned over to investigators by Trump Jr.’s attorneys.“Over the last several months, we have worked cooperatively with each of the committees and have voluntarily turned over thousands of documents in response to their requests,” Alan Futerfas, an attorney for Trump Jr., said in a statement.“Putting aside the question as to why or by whom such documents, provided to Congress under promises of confidentiality, have been selectively leaked, we can say with confidence that we have no concerns about these documents and any questions raised about them have been easily answered in the appropriate forum.”According to the report, the messages are part of a long correspondence between WikiLeaks and Trump Jr., though Trump Jr. seemed to ignore many of the messages, including some which urged him to release “one or more of your father’s tax returns.”President Trump’s attorney Ty Cobb told Fox News on Monday that he was not aware that Donald Trump Jr.’s attorneys provided these documents to congressional investigators, but said there is likely no legal issue, from what he knows of the documents.Wikileaks publisher Julian Assange tweeted about the report on Monday, saying that the organization couldn’t “confirm” the messages with Trump Jr.Wikileaks “does not keep such records and the Atlantic’s presentation is edited and clearly does not have the full context,” Assange wrote.“WikiLeaks loves its pending publications and ignores those who ask for details,” Assange continued.“WikiLeaks has such chutzpah that it allegedly tried to convince Trump Jr to leak his father’s tax returns & his own “Russian lawyer meeting” emails (he did),” Assange wrote.Assange also claimed that the “full text of alleged DMs with context provides a different reading, unsurprisingly.”This is not the first time that Trump Jr. has been in the spotlight, and has had his actions brought into question amid the larger probe into Russian meddling and potential collusion with Trump campaign associates in the 2016 presidential election.In June 2016, Trump Jr. accepted a now-highly scrutinized meeting with Russian attorney Natalia Veselnitskaya, after he allegedly was promised “dirt” on Hillary Clinton.Fox News’ Matt Richardson and John Roberts contributed to this report.",center
"WASHINGTON — Senate Democrats on Thursday vowed to filibuster the Supreme Court nomination of Judge Neil M. Gorsuch, signaling an imminent partisan showdown over the nominee’s fate and the future of century-old rules in the chamber.As committee hearings on Judge Gorsuch concluded on Thursday, it appeared increasingly likely that Republicans hoping to elevate President Trump’s choice for the court would resort to replacing longstanding rules with a simple majority vote on his confirmation.While a parade of witnesses addressed the Senate Judiciary Committee, trading dueling views of Judge Gorsuch, the Senate Democratic leader, Chuck Schumer of New York, went to the Senate floor and announced that he would try to lead Democrats in blocking an up-or-down vote on Judge Gorsuch.“After careful deliberation I have concluded that I cannot support Judge Neil Gorsuch’s nomination to the Supreme Court,” Mr. Schumer said, citing concerns over Judge Gorsuch’s record on workers’ rights and his degree of independence, adding, “My vote will be no, and I urge my colleagues to do the same.”Judge Gorsuch must earn the support of at least eight Democrats to break a filibuster — a threshold he is not on track to meet, at least so far, according to interviews and internal party discussions.If Democrats band together, the Senate majority leader, Mitch McConnell, Republican of Kentucky, has threatened to pursue the so-called nuclear option eliminating the filibuster for Supreme Court selections.Some Republicans have expressed reservations about changing the rules, but Senator Lindsey Graham of South Carolina said Thursday that he would relent if it meant seating Judge Gorsuch.Mr. McConnell has said he wants the Senate to confirm Judge Gorsuch to fill the vacancy, which was created by the death of Justice Antonin Scalia more than a year ago, before departing for a scheduled recess on April 7.On Thursday, Mr. McConnell accused Democrats of engaging in “obstructionist tactics” to block a well-qualified nominee.“Despite the judge’s outstanding performance, his exceptional background, and the extensive support he’s received from people of all political leanings, we know that some Senate Democrats will continue trying to come up with any reason to delay the confirmation process,” Mr. McConnell said of Judge Gorsuch.During the four days of hearings, even Judge Gorsuch’s critics did not dispute his credentials.“We do not give the ‘well qualified’ rating lightly,” said Nancy Scott Degan, an official of the bar association.The group had also given its highest rating to Judge Garland.Four years ago, when Democrats controlled the Senate and Republican senators were blockading Mr. Obama’s appeals court and executive branch nominees, Democrats changed the chamber’s rules to bar filibusters for such positions — but left the filibuster rule in place for Supreme Court nominations.Republicans have cited this history often in accusing their colleagues of hypocrisy on Judge Gorsuch.To eliminate the filibuster for Supreme Court nominees, Republicans would need to vote in virtual lock step: The party effectively has only 51 votes right now because one member, Senator Johnny Isakson of Georgia, is recuperating from back surgery, so just two Republican senators could block a rules change.Still, Judge Gorsuch’s nomination is broadly popular among conservatives.“I don’t think we should move forward on the Gorsuch nomination until the nomination of Merrick Garland has been dealt with fairly,” Senator Thomas R. Carper, Democrat of Delaware, said on Thursday, signaling his support for a filibuster.Another moderate Democrat, Senator Bob Casey of Pennsylvania, also said he would reject Judge Gorsuch and join the filibuster effort.Others in the group were less eager to declare their intentions.“I’m going to keep on my theme I’ve been on for a couple of months,” said Senator Claire McCaskill, Democrat of Missouri.Even before Judge Gorsuch’s nomination, Ms. McCaskill inadvertently drew the ire of liberal activists by expressing support for “a full confirmation hearing process and a vote,” before making clear she believed in a 60-vote threshold.Despite the escalating political friction, the atmosphere in the hearing room on Thursday was often more perfunctory than passionate, as panels of witnesses selected by Democrats and Republicans alternately expressed concerns that Judge Gorsuch was too conservative or praised him as a well-qualified and careful judge.Two of Judge Gorsuch’s former colleagues on the United States Court of Appeals for the 10th Circuit, in Denver — Deanell Reece Tacha, appointed by President Ronald Reagan, and Robert Harlan Henry, appointed by President Bill Clinton — praised his intellect and temperament.But others expressed concerns.Jameel Jaffer, who litigated national-security cases against the government as the former deputy legal director of the American Civil Liberties Union, urged the committee to scrutinize more closely Judge Gorsuch’s views on executive power and individual rights.Mr. Jaffer pointed to documents showing, for example, that Judge Gorsuch had worked to get Congress to enact a law stripping courts of jurisdiction to hear lawsuits by Guantánamo Bay detainees, and in one email chain he criticized law firms that helped represent prisoners in seeking judicial review of their detention.On Wednesday, Judge Gorsuch told the committee that the email had not been “my finest moment” and that he had been “blowing off steam with a friend, privately.”",liberal
"Lawmakers at the scene of Wednesday’s baseball practice shooting described themselves as “sitting ducks” and said the violence would have been a “massacre” if not for Majority Whip Steve Scalise's detail -- spurring new questions over whether congressional security practices should be overhauled.Thursday night, the MedStar Washington Hospital Center issued a statement saying Scalise ""underwent a second surgery related to his internal injuries and a broken bone in his leg.Scalise, R-La., like other members of leadership, is assigned a full-time security detail from U.S. Capitol Police, who guard him in Washington and at home in his district.“If Scalise was not there, he’s the one with security detail, we wouldn’t have had any protection and God knows how bad that might have been,” Rep. Brad Wenstrup, R-Ohio, told ""Fox & Friends.""Rep. Dave Brat, R-Va., acknowledged the incident has sparked new security questions for members without assigned police protection at events outside Capitol Hill.He, along with several other members of Congress, suggested the most critical change may be to boost security for large lawmaker gatherings, even informal ones like the baseball practice in Alexandria, Va.“We already had concerns and we have great law enforcement at home, first responders do a great job, but this makes you anticipate every event now in a new way,” Brat said on Fox News’ “America’s News HQ” on Wednesday.Brat said lawmakers “may need to recalibrate public events,” while also suggesting “tighter security” at town halls -- which most congressional lawmakers have scheduled through the summer recess.The Wednesday attack injured Scalise; Matt Mika, a lobbyist for Tyson Foods; Zack Barth, a staffer from Texas Rep. Roger Williams’ office; and two U.S. Capitol Police officers, Special Agents Crystal Griner and David Bailey.“Without Capitol Hill police, it would have been a massacre—we had no defense—we had no defense at all,” Sen. Rand Paul, R-Ky., said on ""Fox & Friends.""Lawmakers have appealed for more security before, including after the 2011 shooting of then-Rep. Gabrielle Giffords.But there are broad questions at hand in boosting security beyond that: particularly, does it hurt democracy to put an added barrier between lawmakers and constituents?“I bet most members of Congress would say they don’t want [a] security detail—I sure don’t,” Rep. Mike Doyle, D-Pa., manager of the Democratic congressional baseball team, told reporters.Former Speaker of the House Newt Gingrich lauded the current system where lawmakers interact with the people on a regular basis in settings like grocery stores.“We start surrounding these folks with layers of guards—it will really cripple the ability to be a free society,” he said on “Outnumbered.”Gingrich added: “We are a free country, and we’re gonna run the risk of freedom.”Rep. Williams backed Gingrich's comments in a press conference on Capitol Hill Wednesday.But Williams suggested he would feel “safer” if he were allowed to carry a gun on Capitol Hill, reminding reporters that he’s “a big Second Amendment guy” -- and said “we probably ought to take a look at our security in big groups like that.”Doyle, too, suggested that could be the solution: “I think when you’re in an area with 30 or 40 members, where anyone can walk through, we need to re-think that—but I think most members would tell you they feel fine and they’re not looking for any security.”Rep. Thomas Massie, R-K.Y., took calls for additional security a step further on Thursday by re-introducing legislation that would allow those who have concealed carry permits in their home states to carry in Washington D.C.U.S. Capitol Police have not announced any increased security measures for congressional lawmakers, but said they will “continue to provide a robust and visible presence” around the Capitol.James Norton, who was deputy assistant secretary at Department of Homeland Security under the George W. Bush administration, told Fox News that staffing each member of Congress with a personal security detail would cost billions and acknowledged the unwillingness of some members to have additional layers of security.“You have to consider that there is a lot of information for the public—obviously members want to give as much information as they can—a lot of calendars are broadcast, social media, information is readily available,” Norton said.Brooke Singman is a Reporter for Fox News.",liberal
"WASHINGTON — Two days after suddenly halting his own administration’s decision to begin allowing hunters to import elephants killed in two African countries, President Donald Trump called such trophy hunting a “horror show” and said he’s unlikely to change his mind and allow such imports.“Big-game trophy decision will be announced next week but will be very hard pressed to change my mind that this horror show in any way helps conservation of Elephants or any other animal,” he posted to Twitter Sunday evening.In the face of widespread public backlash, Tump announced late Friday that he has suspended — at least for now — his administration’s decision to reverse an Obama-era ban on the importation of elephant trophies from Zimbabwe and Zambia.“Put big game trophy decision on hold until such time as I review all conservation facts,” he posted to Twitter.Interior Secretary Ryan Zinke said in a statement on Twitter that he and Trump “believe that conservation & healthy herds are critical.”As HuffPost reported Wednesday, the administration optedto lift the 2014 ban after determining that sport hunting of elephants in those African countries would “enhance the survival of the species in the wild,” a spokesperson for the U.S. Fish and Wildlife Service said.The decision regarding elephants was made public not by the federal agency but via a celebratory news release early Tuesday from Safari Club International, a trophy hunting advocacy group that, along with the National Rifle Association, sued to block the 2014 ban.The Safari Club’s political action committees donated a collective $24,500 to Trump’s presidential campaign and Zinke’s 2014 and 2016 congressional campaigns, according to Federal Election Commission data.Conservation groups celebrated Trump’s sudden change in course Friday, which was believed to be a response to public pressure.“It’s great that public outrage has forced Trump to reconsider this despicable decision, but it takes more than a tweet to stop trophy hunters from slaughtering elephants and lions,” Tanya Sanerib, senior attorney with the Center for Biological Diversity, said in a statement.In a post to Twitter, Wayne Pacelle, the CEO of The Humane Society of the United States, said he was “grateful” that Trump would reconsider.The elephant trophy decision drew national headlines and a fierce response from celebrities and others across social media.A day after Trump’s suspension, the Safari Club sent out a “call to arms,” encouraging hunters to contact Trump and Zinke and “tell them how much you appreciate the efforts of the Fish & Wildlife Service to remove barriers to sustainable use conservation for African wildlife.”“The news from Africa could not have been better for hunters or for anyone who loves or defends hunting culture,” the group wrote.African elephants have been listed as threatened under the Endangered Species Act since 1978.The FWS concluded that Zimbabwe has made strides to improve elephant management and anti-poaching efforts, according to a notice published Friday in the Federal Register.Rep. Ed Royce (R-Calif.), chairman of the House Foreign Affairs Committee, was among the many people who called on Trump to abandon his trophy hunting decision.“Elephants and other big game in Africa are blood currency for terrorist organizations, and they are being killed at an alarming rate,” Royce said.Hours before Trump’s review announcement, the FWS defended its decision as “part of a robust United States conservation strategy that seeks to eliminate poaching and associated wildlife trafficking.”",center
"WASHINGTON ― The White House relayed President Donald Trump’s response late Thursday to bombshell allegations that Alabama GOP Senate nominee Roy Moore sexually molested a 14-year-old girl in 1979.White House press secretary Sarah Huckabee Sanders, traveling with the president on his trip to Asia, told reporters that Trump “believes that we cannot allow a mere allegation ― in this case, one from many years ago ― to destroy a person’s life” but that if the allegations are true, “Judge Moore will do the right thing and step aside.”A spokesperson for Vice President Mike Pence said the veep “found the allegations in the story disturbing and believes, if true, this would disqualify anyone from serving in office.”Moore’s campaign denied the allegations, which The Washington Post first reported, telling the paper the accusations of four women are “the very definition of fake news.”On Thursday, numerous Republican lawmakers on Capitol Hill called on Moore to drop out of the race ― if the allegations are true.During his 2016 campaign, Trump dismissed allegations of sexual misconduct against himself from more than a dozen women and threatened to sue some of his accusers.In September, Moore, a controversial judge in Alabama, won the primary for the special election.Trump notably backed Strange over Moore, though many members of his base, including former White House chief strategist Steve Bannon, supported Moore.But after Moore won, Trump disavowed his endorsement of Strange, deleting tweets in support of him.",center
"President Trump said Thursday he is “very close” to naming a new FBI director to replace James Comey, and his leading contender is former Democratic Sen. Joe Lieberman.Lieberman, 75, who served in the Senate from 1989-2013, first as a Democrat and then as an independent, met with Trump at the White House on Wednesday afternoon to discuss leading the law enforcement agency.When asked point-blank by a reporter in the Oval Office Thursday if Lieberman was the leading contender, Trump replied, ""Yes.""Trump also met Wednesday with current acting FBI Director Andrew McCabe, former Oklahoma Gov. Frank Keating and FBI official Richard McFeely.Lieberman’s law enforcement experience stems from his two-term tenure as Connecticut’s attorney general, spanning from 1983 until his resignation in 1989 when he was elected to the U.S. Senate.Lieberman, who ran as vice president on Al Gore's 2000 ticket, became an independent after losing the Democratic primary in 2006.Lieberman told Fox Business Network last year that he “never changed parties” and in fact ended up endorsing Hillary Clinton in the 2016 presidential campaign against Trump.Some Republican senators called the idea of Lieberman replacing Comey “intriguing,” but Sen. Claire McCaskill, D-Mo., said it was a “mistake” to nominate him.""Lieberman is probably the only person who can get 100 votes in the Senate,"" Senate Majority Whip John Cornyn, R-Texas, said on Capitol Hill on Thursday after the closed Senate briefing with Deputy Attorney General Rod Rosenstein.On Thursday morning on the Senate floor, Senate Minority Leader Chuck Schumer, D-N.Y., argued against a “career politician” of either party to lead the FBI, though he did not name Lieberman.",right
"Kathy Griffin admitted Tuesday she ""went too far"" on her latest photo shoot with controversial photographer Tyler Shields in which she is holding a bloodied mask of President Trump.The gory photo first published in TMZ from Griffin's photo session with the famed Shields, known for his shocking pictures.In a Twitter post late Tuesday, Griffin said the image ""is too disturbing,"" and that ""it wasn't funny.""""I understand how it offends people,"" she said, adding ""I've made a lot of mistakes in my career.""According to the gossip site, Griffin joked with Shields on set they would need to move to Mexico after the photos were released or fear imprisonment.""I went too far and I was wrong,"" she said.People took to Twitter to express their disdain for the photo shoot.Reps for Griffin did not immediately return Fox News' request for comment.Chelsea Clinton called it ""vile and wrong"" in a Twitter post.Shields told Fox News that Griffin was hoping to create a bold message.""Kathy and I are friends and we worked together before, so when we started doing this shoot, she said, 'I'd love to do something political.Shields added the image was meant to serve as art and he's aware that it could make some viewers uncomfortable.""That's what art is meant to do,"" he said.Shields tweeted a link to a YouTube video called ""Behind the scenes with Kathy Griffin"" but the video has since been removed.This is hardly the first time Shields' photos have caused uproar.As for his recent collaboration with Griffin, he doesn't regret it.""I can't speak for her, [but] I know she loves to stir the pot,"" he said.",center
"President Trump, 24 hours from his self-imposed deadline for picking a new F.B.I. director, told reporters on Thursday that he was “very close” to choosing a successor to James B. Comey, and he named Joseph I. Lieberman, the former Democratic senator and vice-presidential nominee, as a finalist.But members of Mr. Trump’s staff — alarmed by his rapid embrace of Mr. Lieberman, a charming 75-year-old political operator with no federal law enforcement experience — have quietly urged him to take more time to make such a critical hire.Mr. Lieberman, who served three terms in the Senate as a Democrat and one as an independent, would be an atypical choice to lead the F.B.I., whose agents prize the bureau’s independence as one of Washington’s few apolitical institutions.Administration officials described the search as fluid and said the president and his team were keeping the decision-making process closely held to avoid the leaks that Mr. Trump believes are endemic to the West Wing.Still, Mr. Trump, speaking briefly with reporters in the Oval Office as he met with President Juan Manuel Santos of Colombia, offered an emphatic “yes” when asked whether Mr. Lieberman was among the finalists.“We need a great director of the F.B.I. I cherish the F.B.I.It was unclear whether the president’s acknowledgment that Mr. Lieberman was a finalist was intended to stoke the “Apprentice”-style frenzy of speculation he has favored with other high-profile picks, only to opt for a lesser-known candidate.Mr. Trump is still seeking applicants, and some aides, along with many law enforcement officials, have suggested that he hire from within the agency to repair some of the damage to morale wrought by Mr. Comey’s sudden firing.Mr. McCabe, a veteran agent who joined the bureau in 1996 and once specialized in Russian organized crime, was named deputy director in 2016.All three men are under consideration, the administration officials said, even if Mr. Lieberman, who was Al Gore’s running mate in the 2000 presidential campaign, is the front-runner.Mr. Trump and Mr. Lieberman had good chemistry when they met privately, one White House aide said — a key ingredient for Mr. Trump in hiring people.Democrats pushed back hard on that notion, casting the conservative Mr. Lieberman as a Democrat in name only and noting that he publicly supported Mr. Trump’s pick of Michael T. Flynn as his first national security adviser.But casting Mr. Lieberman as the most likely choice did have one immediate advantage: It appealed to Senator John McCain, Republican of Arizona, who had suggested this week that the firestorm over Mr. Trump’s ouster of Mr. Comey was as bad as Watergate.The White House remains divided, and several senior officials expressed serious doubts about Mr. Lieberman.If Mr. Trump picks Mr. Lieberman, one adviser said he might serve for a short stint — to lend his bipartisan reputation to a president badly in needed of credibility — instead of the full term.Others on Mr. Trump’s list are former Gov. Frank Keating of Oklahoma and former Representative Mike Rogers of Michigan, both Republicans.Also interviewed were two other judges, Michael J. Garcia of the New York State Court of Appeals and Henry E. Hudson of Federal District Court for the Eastern District of Virginia.",liberal
"WASHINGTON — President Trump on Monday said the F.B.I. ruined the life of his former national security adviser and said his Democratic opponent for president, Hillary Clinton, suffered no consequences after she lied “many times” to the F.B.I.Michael T. Flynn, Mr. Trump’s first national security adviser, pleaded guilty on Friday to lying to the F.B.I. when he was questioned early this year about his conversations with the Russian ambassador.As he left for Utah on Monday, the president said he felt “very badly” for Mr. Flynn, whom he fired in February for lying to the vice president about the content of these conversations.Mr. Trump’s comments Monday on Mr. Flynn come at a time when the special counsel investigation is focusing intensely on the president’s inner circle.“I feel badly for General Flynn,” Mr. Trump said on Monday. “I feel very badly.Mr. Trump did not cite specifically what Mrs. Clinton said that he considered a lie.Mrs. Clinton gave a voluntary interview to the bureau in July 2016 during its investigation into whether she or her aides broke the law by corresponding through a private email server set up for her use as secretary of state.",right
"WASHINGTON ― The House intelligence committee is preparing to issue subpoenas against Michael Flynn after the former national security adviser denied a request to voluntarily turn over documents related to the committee’s Russia probe.Rep. Adam Schiff (Calif.), the ranking Democrat on the committee, said on Wednesday that the committee is prepared to use “whatever compulsory process we need” to obtain information from Flynn if he does not cooperate with the subpoenas.Citing the Fifth Amendment right against self-incrimination, Flynn’s lawyer said on Monday that Flynn would not comply with subpoenas from the Senate intelligence committee, which is conducting its own parallel investigation into Russia’s interference in the election and whether it colluded with President Donald Trump’s associates.The House committee’s subpoenas “will be designed to maximize our chance of getting the information that we need,” Schiff told reporters at a breakfast hosted by the Christian Science Monitor.Schiff said he is “skeptical” that the committee would agree to grant Flynn immunity in the future in exchange for information.The committee is also looking for ways to obtain documentation of Trump’s conversations with top intelligence and law enforcement officials involved in a separate federal Russia probe.Trump implied earlier this month that he had “tapes” of discussions with recently fired FBI Director James Comey that would be damaging to Comey.“That could be further evidence of an attempt to interfere with the investigation,” Schiff said of Trump’s reported request to Coats and Rogers.Despite concerns about Trump interfering with ongoing investigations into his campaign, Schiff warned that it is premature for Democrats on Capitol Hill to push for impeachment.“There’s a legal standard that needs to be met for impeachment and then there’s a very practical standard that has to be met,” Schiff said.“If the Republicans in Congress or people at large in the country feel this is simply a way to nullify an election that others didn’t agree with, then you’re not going to meet the practical standards necessary,” Schiff said.",liberal
